Crop,Yield
Arecanut,4.3702921497750005
Arhar/Tur,1.4259704832985074
Bajra,3.0722279159671535
Banana,53.204375546669496
Barley,2.734092952204225
Black pepper,1.2389167866428572
Cardamom,0.19862559230000004
Cashewnut,0.9631624861395348
Castor seed,1.09546034649375
Coconut ,13539.70744532143
Coriander,1.511387077575
Cotton(lint),2.687097866974576
Cowpea(Lobia),1.315941021848684
Dry chillies,4.969063864790817
Garlic,7.212235997295455
Ginger,12.221808095379313
Gram,1.488482989475
Groundnut,2.5426655668840206
Guar seed,1.1739297484285713
Horse-gram,0.8133923996388889
Jowar,1.7464243285664063
Jute,11.5658947424
Khesari,1.2455283007058824
Linseed,0.7922449794863013
Maize,4.240122772864706
Masoor,1.2068898458258428
Mesta,7.791458305882353
Moong(Green Gram),0.9427037164368933
Moth,0.7919748581379309
Niger seed,0.6787755154705882
Oilseeds total,5.6248269231000005
Onion,26.487945231660447
Other  Rabi pulses,1.483040260188119
Other Cereals,1.3414091062868851
Other Kharif pulses,1.2711489993349516
Other Summer Pulses,1.28988809805
Peas & beans (Pulses),2.4991730586571426
Potato,18.363112234228815
Ragi,2.0207159348255814
Rapeseed &Mustard,1.2674823723664124
Rice,3.7638364919605265
Safflower,0.9026015810425532
Sannhamp,1.8183180972272726
Sesamum,1.062632917315508
Small millets,1.3456653833111112
Soyabean,1.7388697937596154
Sugarcane,86.00144708706767
Sunflower,1.5237201572950823
Sweet potato,16.305301407513156
Tapioca,27.454966316833335
Tobacco,4.3943636040625
Turmeric,7.362145074396553
Urad,1.0459884000785715
Wheat,3.284860505661654
other oilseeds,3.1679007282169813
